SCEDTimestamp,RepeatedHourFlag,ElectricalBus,LMP
01/19/2016 09:55:12,N,2641SL_LD_,       16.30
01/19/2016 09:55:12,N,265HSL_LD_,       16.30
01/19/2016 09:55:12,N,26_EB,       16.24
01/19/2016 09:55:12,N,293HSL_LD_,       16.30
01/19/2016 09:55:12,N,2J10SL_LD_,       16.30
01/19/2016 09:55:12,N,2_EB,      -33.84
01/19/2016 09:55:12,N,2_EBUS,       16.52
01/19/2016 09:55:12,N,2_ELB,       16.41
01/19/2016 09:55:12,N,302HSL_LD_,       16.30
01/19/2016 09:55:12,N,3111,       16.48
01/19/2016 09:55:12,N,3211,       16.48
01/19/2016 09:55:12,N,3251,       16.50
01/19/2016 09:55:12,N,345KV_1,       16.50
01/19/2016 09:55:12,N,345KV_2,       16.50
01/19/2016 09:55:12,N,345_2,       17.00
01/19/2016 09:55:12,N,36TH_2,       16.76
01/19/2016 09:55:12,N,36TH_3,       16.76
01/19/2016 09:55:12,N,3813_EB,       16.68
01/19/2016 09:55:12,N,3819,       16.48
01/19/2016 09:55:12,N,3_EBUS,       16.52
01/19/2016 09:55:12,N,401,       16.22
01/19/2016 09:55:12,N,4110,       16.48
01/19/2016 09:55:12,N,4171_1,       16.48
01/19/2016 09:55:12,N,4172_1,       16.48
01/19/2016 09:55:12,N,4210,       16.48
01/19/2016 09:55:12,N,4212,       16.48
01/19/2016 09:55:12,N,4271,       16.48
01/19/2016 09:55:12,N,4412,       16.48
01/19/2016 09:55:12,N,4432,       16.48
01/19/2016 09:55:12,N,4471,       16.48
01/19/2016 09:55:12,N,4536EB,       16.56
01/19/2016 09:55:12,N,4571_1,       16.48
01/19/2016 09:55:12,N,4572_1,       16.48
01/19/2016 09:55:12,N,4671,       16.48
01/19/2016 09:55:12,N,4871,       16.48
01/19/2016 09:55:12,N,4_EB,       16.41
01/19/2016 09:55:12,N,5005EB,       16.56
01/19/2016 09:55:12,N,5010EB,       16.56
01/19/2016 09:55:12,N,5017EB,       16.56
01/19/2016 09:55:12,N,5020EB,       16.56
01/19/2016 09:55:12,N,5025EB,       16.56
01/19/2016 09:55:12,N,5228_EB,       16.59
01/19/2016 09:55:12,N,5229_EB,       16.59
01/19/2016 09:55:12,N,5232_EB,       16.58
01/19/2016 09:55:12,N,5233_EB,       16.58
01/19/2016 09:55:12,N,5364EB,       16.47
01/19/2016 09:55:12,N,5TR1,       16.30
01/19/2016 09:55:12,N,60BHSL_LD_,       16.30
01/19/2016 09:55:12,N,61AHSL_LD_,       16.30
01/19/2016 09:55:12,N,6764,       16.47
01/19/2016 09:55:12,N,6900,       16.14
01/19/2016 09:55:12,N,6905,       16.48
01/19/2016 09:55:12,N,69BUS,       14.79
01/19/2016 09:55:12,N,69KV,       16.58
01/19/2016 09:55:12,N,69KV_1,       16.59
01/19/2016 09:55:12,N,69KV_2,       16.59
01/19/2016 09:55:12,N,69_BUS1,       12.26
01/19/2016 09:55:12,N,6_EB,       16.41
01/19/2016 09:55:12,N,7_EB,       16.24
01/19/2016 09:55:12,N,8009001_8S,       16.47
01/19/2016 09:55:12,N,8009003_8X,       16.47
01/19/2016 09:55:12,N,89NWK_KC,       16.47
01/19/2016 09:55:12,N,89NWK_KDX,       16.47
01/19/2016 09:55:12,N,89NWK_KHE,       16.47
