SCEDTimestamp,RepeatedHourFlag,ElectricalBus,LMP
01/15/2016 11:20:11,N,0001,       18.24
01/15/2016 11:20:11,N,0001DUPV1_,       18.24
01/15/2016 11:20:11,N,0001HWFG1,       18.24
01/15/2016 11:20:11,N,0001VICTOR,       18.24
01/15/2016 11:20:11,N,0001_C,       18.24
01/15/2016 11:20:11,N,0001_EB,       18.24
01/15/2016 11:20:11,N,0002_EB,       18.24
01/15/2016 11:20:11,N,0003,       18.24
01/15/2016 11:20:11,N,0003EB,       18.24
01/15/2016 11:20:11,N,0003_EB,       18.24
01/15/2016 11:20:11,N,0004EB,       18.24
01/15/2016 11:20:11,N,0004_EB,       18.24
01/15/2016 11:20:11,N,0005,       18.24
01/15/2016 11:20:11,N,0006,       18.24
01/15/2016 11:20:11,N,0006EB,       18.24
01/15/2016 11:20:11,N,0006_EB,       18.24
01/15/2016 11:20:11,N,0007_EB,       18.24
01/15/2016 11:20:11,N,0008EB,       18.24
01/15/2016 11:20:11,N,0008_BUS1,       18.24
01/15/2016 11:20:11,N,0009EB,       18.24
01/15/2016 11:20:11,N,0009_EB,       18.24
01/15/2016 11:20:11,N,0009_EBUS,       18.24
01/15/2016 11:20:11,N,0010,       18.24
01/15/2016 11:20:11,N,0010EB,       18.24
01/15/2016 11:20:11,N,0010_EB,       18.24
01/15/2016 11:20:11,N,0011EB,       18.24
01/15/2016 11:20:11,N,0011_EB,       18.24
01/15/2016 11:20:11,N,0012_EB,       18.24
01/15/2016 11:20:11,N,0013EB,       18.24
01/15/2016 11:20:11,N,0013_EB,       18.24
01/15/2016 11:20:11,N,0014,       18.24
01/15/2016 11:20:11,N,0014_EB,       18.24
01/15/2016 11:20:11,N,0015,       18.24
01/15/2016 11:20:11,N,0015_EB,       18.24
01/15/2016 11:20:11,N,0016_EB,       18.24
01/15/2016 11:20:11,N,0023,       18.24
01/15/2016 11:20:11,N,0033,       18.24
01/15/2016 11:20:11,N,01,       18.24
01/15/2016 11:20:11,N,0100,       18.24
01/15/2016 11:20:11,N,0100_LD1,       18.24
01/15/2016 11:20:11,N,0101_EB,       18.24
01/15/2016 11:20:11,N,010EB,       18.24
01/15/2016 11:20:11,N,0110_EB,       18.24
01/15/2016 11:20:11,N,014,       18.24
01/15/2016 11:20:11,N,01J5SL_LD_,       18.24
01/15/2016 11:20:11,N,0200,       18.24
01/15/2016 11:20:11,N,0200_BUS01,       18.24
01/15/2016 11:20:11,N,0200_EB,       18.24
01/15/2016 11:20:11,N,0201,       18.24
01/15/2016 11:20:11,N,0202,       18.24
01/15/2016 11:20:11,N,0202_EB,       18.24
01/15/2016 11:20:11,N,0203,       18.24
01/15/2016 11:20:11,N,0204,       18.24
01/15/2016 11:20:11,N,020_EB,       18.24
01/15/2016 11:20:11,N,02J7SL_LD_,       18.24
01/15/2016 11:20:11,N,0300,       18.24
01/15/2016 11:20:11,N,0300_BUS02,       18.24
01/15/2016 11:20:11,N,0300_EB,       18.24
01/15/2016 11:20:11,N,0301,       18.24
01/15/2016 11:20:11,N,0302_EB,       18.24
01/15/2016 11:20:11,N,0451_EBB,       18.24
01/15/2016 11:20:11,N,0501,       18.24
01/15/2016 11:20:11,N,0600_EB,       18.24
01/15/2016 11:20:11,N,0801EB,       18.24
01/15/2016 11:20:11,N,08_EB,       18.24
01/15/2016 11:20:11,N,0950,       18.24
01/15/2016 11:20:11,N,0BB2,       18.24
01/15/2016 11:20:11,N,0BB3,       18.24
01/15/2016 11:20:11,N,0T2,       18.24
01/15/2016 11:20:11,N,1027EB,       18.24
01/15/2016 11:20:11,N,10_EB,       18.24
01/15/2016 11:20:11,N,10_EBUS,       18.24
01/15/2016 11:20:11,N,1101,       18.24
01/15/2016 11:20:11,N,1102,       18.24
01/15/2016 11:20:11,N,1103,       18.24
01/15/2016 11:20:11,N,1106,       18.24
01/15/2016 11:20:11,N,1121,       18.24
01/15/2016 11:20:11,N,1150,       18.24
01/15/2016 11:20:11,N,11_EB,       18.24
01/15/2016 11:20:11,N,120_EB,       18.24
01/15/2016 11:20:11,N,1226_EB,       18.24
01/15/2016 11:20:11,N,1230_EB,       18.24
01/15/2016 11:20:11,N,1234_EB,       18.24
01/15/2016 11:20:11,N,1238_EB,       18.24
01/15/2016 11:20:11,N,1242_EB,       18.24
01/15/2016 11:20:11,N,1246_EB,       18.24
01/15/2016 11:20:11,N,1250_EB,       18.24
01/15/2016 11:20:11,N,1255,       18.24
01/15/2016 11:20:11,N,1258_EB,       18.24
01/15/2016 11:20:11,N,1261_EB,       18.24
01/15/2016 11:20:11,N,1314_EB,       18.24
01/15/2016 11:20:11,N,1381_BUS2,       18.24
01/15/2016 11:20:11,N,1387EB,       18.24
01/15/2016 11:20:11,N,138A,       18.24
01/15/2016 11:20:11,N,138B,       18.24
01/15/2016 11:20:11,N,138KV,       18.24
01/15/2016 11:20:11,N,138KV_1,       18.24
01/15/2016 11:20:11,N,138KV_1_THOM,       18.24
01/15/2016 11:20:11,N,138KV_2,       18.24
01/15/2016 11:20:11,N,138KV_2_THOM,       18.24
